,date,ticker,document,Industry
0,3/27/21,AAPL,"{'usage': {'text_units': 1, 'text_characters': 5851, 'features': 2}, 'sentiment': {'document': {'score': -0.853331, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.571522, 'joy': 0.085712, 'fear': 0.170525, 'disgust': 0.029309, 'anger': 0.095593}}}}",Tech
1,12/26/20,AAPL,"{'usage': {'text_units': 1, 'text_characters': 5128, 'features': 2}, 'sentiment': {'document': {'score': -0.980403, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.597994, 'joy': 0.070628, 'fear': 0.17231, 'disgust': 0.03117, 'anger': 0.12529}}}}",Tech
2,6/27/20,AAPL,"{'usage': {'text_units': 1, 'text_characters': 5593, 'features': 2}, 'sentiment': {'document': {'score': -0.991665, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.620695, 'joy': 0.041666, 'fear': 0.186573, 'disgust': 0.029744, 'anger': 0.09331}}}}",Tech
3,3/28/20,AAPL,"{'usage': {'text_units': 1, 'text_characters': 7283, 'features': 2}, 'sentiment': {'document': {'score': -0.733907, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.685394, 'joy': 0.054257, 'fear': 0.124109, 'disgust': 0.034296, 'anger': 0.114164}}}}",Tech
4,3/30/19,AAPL,"{'usage': {'text_units': 2, 'text_characters': 15593, 'features': 2}, 'sentiment': {'document': {'score': -0.733907, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.876969, 'joy': 0.002659, 'fear': 0.163147, 'disgust': 0.066599, 'anger': 0.129184}}}}",Tech
5,6/30/18,AAPL,"{'usage': {'text_units': 2, 'text_characters': 14635, 'features': 2}, 'sentiment': {'document': {'score': -0.988817, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.865978, 'joy': 0.004509, 'fear': 0.18241, 'disgust': 0.058933, 'anger': 0.126982}}}}",Tech
6,3/31/18,AAPL,"{'usage': {'text_units': 2, 'text_characters': 14564, 'features': 2}, 'sentiment': {'document': {'score': -0.967848, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.848584, 'joy': 0.007707, 'fear': 0.198619, 'disgust': 0.058714, 'anger': 0.12154}}}}",Tech
7,12/28/19,AAPL,"{'usage': {'text_units': 1, 'text_characters': 5207, 'features': 2}, 'sentiment': {'document': {'score': -0.986224, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.616957, 'joy': 0.055932, 'fear': 0.18986, 'disgust': 0.035464, 'anger': 0.117867}}}}",Tech
8,6/29/19,AAPL,"{'usage': {'text_units': 2, 'text_characters': 14330, 'features': 2}, 'sentiment': {'document': {'score': -0.965563, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.876346, 'joy': 0.002704, 'fear': 0.160042, 'disgust': 0.066097, 'anger': 0.134327}}}}",Tech
9,12/29/18,AAPL,"{'usage': {'text_units': 2, 'text_characters': 14137, 'features': 2}, 'sentiment': {'document': {'score': -0.989518, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.867807, 'joy': 0.003151, 'fear': 0.167546, 'disgust': 0.064702, 'anger': 0.142119}}}}",Tech
