,date,ticker,document
19,2018093,AMZN,"{'usage': {'text_units': 2, 'text_characters': 14005, 'features': 2}, 'sentiment': {'document': {'score': -0.817018, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.812803, 'joy': 0.004649, 'fear': 0.236994, 'disgust': 0.075966, 'anger': 0.125314}}}}"
20,2018063,AMZN,"{'usage': {'text_units': 2, 'text_characters': 14513, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.802075, 'joy': 0.003351, 'fear': 0.190053, 'disgust': 0.085392, 'anger': 0.192444}}}}"
21,2018033,AMZN,"{'usage': {'text_units': 2, 'text_characters': 14900, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.810754, 'joy': 0.003998, 'fear': 0.195052, 'disgust': 0.090378, 'anger': 0.167237}}}}"
22,2021033,GOOGL,"{'usage': {'text_units': 1, 'text_characters': 8757, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.487276, 'joy': 0.103753, 'fear': 0.148986, 'disgust': 0.111592, 'anger': 0.251955}}}}"
23,2020093,GOOGL,"{'usage': {'text_units': 3, 'text_characters': 21262, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.836065, 'joy': 0.001683, 'fear': 0.208299, 'disgust': 0.082976, 'anger': 0.14396}}}}"
24,2020033,GOOGL,"{'usage': {'text_units': 3, 'text_characters': 21225, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.842556, 'joy': 0.00194, 'fear': 0.219511, 'disgust': 0.079457, 'anger': 0.123988}}}}"
25,0 qq320,GOOGL,"{'usage': {'text_units': 1, 'text_characters': 8094, 'features': 2}, 'sentiment': {'document': {'score': -0.619343, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.449898, 'joy': 0.052916, 'fear': 0.218854, 'disgust': 0.089984, 'anger': 0.136772}}}}"
26,0 qq220,GOOGL,"{'usage': {'text_units': 1, 'text_characters': 8087, 'features': 2}, 'sentiment': {'document': {'score': -0.619343, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.444046, 'joy': 0.056797, 'fear': 0.233579, 'disgust': 0.086604, 'anger': 0.127077}}}}"
27,0 qq120,GOOGL,"{'usage': {'text_units': 1, 'text_characters': 7817, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.490792, 'joy': 0.050253, 'fear': 0.247419, 'disgust': 0.109859, 'anger': 0.125837}}}}"
28,2020063,GOOGL,"{'usage': {'text_units': 3, 'text_characters': 20887, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.846407, 'joy': 0.001659, 'fear': 0.204495, 'disgust': 0.081728, 'anger': 0.132363}}}}"
